dataset,obs_Teff_HR_int,obs_Teff_p,R_total,R_valid,frac_random_HR_le_obs,frac_random_p_le_obs,percentile_obs_HR_extremity,percentile_obs_p_extremity,HR_median,HR_q25,HR_q75,HR_min,HR_max,p_median,p_q25,p_q75,p_min,p_max
IMmotion150,0.521469230652954,0.00124902867211007,10000,9999,0.0049004900490049,0.0044004400440044,99.5099509950995,99.5599559955996,0.908847566957453,0.783210464976717,1.05389946795001,0.432588222254807,2.28179850096146,0.405694136411272,0.163776157773166,0.697376786257111,2.49377705967736e-05,0.99996118634292
JAVELIN,0.776739507137963,0.0535742196969482,10000,10000,0.0033,0.4183,99.67,58.17,1.19041954351199,1.06543314380058,1.31782791879642,0.671555030263237,1.90900897861476,0.0973179553751534,0.0107591373247589,0.402188438333971,6.18537866159645e-09,0.999469061532842
