dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,AC021646.1,0.0183848586308645,0.173075439683807,1.76358305990608,0,TRUE,FALSE,2,5,205
IMmotion150,AC021660.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021660.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021660.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021660.4,0.0386167006061921,0.19258657219234,1.14082348166979,0,TRUE,FALSE,3,5,305
IMmotion150,AC021678.1,0.0953206143108118,0.323573333647859,1.63518659840147,0,TRUE,FALSE,3,7,307
IMmotion150,AC021678.2,0.505252727360902,0.665872187639057,2.03148633072639,0,TRUE,FALSE,5,9,509
IMmotion150,AC021678.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021683.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021683.2,0.183589826905111,0.416782945679801,2.05063613774468,0,TRUE,FALSE,4,7,407
IMmotion150,AC021683.3,0.0446337526369951,0.210584274131616,1.25703400525845,0,TRUE,FALSE,3,5,305
IMmotion150,AC021683.4,0.0154018517370775,0.118392544915228,1.03766117496518,0,TRUE,FALSE,2,4,204
IMmotion150,AC021683.5,0.020889694929435,0.138846511120074,1.11897918048759,0,TRUE,FALSE,2,4,204
IMmotion150,AC021683.6,0.143061855796787,0.377663563974055,1.86289245983288,0,TRUE,FALSE,4,7,407
IMmotion150,AC021698.1,0.0161950775699582,0.152100558611486,1.50260498500916,0,TRUE,FALSE,2,5,205
IMmotion150,AC021701.1,0.0171072329501408,0.131200772915674,1.11897918048759,0,TRUE,FALSE,2,4,204
IMmotion150,AC021713.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021723.1,0.251717920395733,0.500070602015647,2.0027380531859,0,TRUE,FALSE,4,8,408
IMmotion150,AC021723.2,0.218987829986054,0.495806654624731,2.2570676186973,0,TRUE,FALSE,4,8,408
IMmotion150,AC021733.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021733.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021733.3,0.274048218671587,0.526927147118815,2.05561699771402,0,TRUE,FALSE,4,8,408
IMmotion150,AC021733.4,0.191053081867577,0.396161149408538,1.50954752944381,0,TRUE,FALSE,4,7,407
IMmotion150,AC021736.1,0.00632191627394117,0.0841076256431356,1.11897918048759,0,TRUE,FALSE,1,3,103
IMmotion150,AC021739.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021739.2,1.00587592811802,0.67542587904463,2.43367071436124,0,TRUE,FALSE,6,9,609
IMmotion150,AC021739.3,0.854076905513141,0.744126373667738,2.35582851593314,0,TRUE,FALSE,5,10,510
IMmotion150,AC021739.4,0.00520109647146708,0.0691960880214686,0.920594075449673,0,TRUE,FALSE,1,2,102
IMmotion150,AC021744.1,0.0281970747786201,0.167200179895427,1.16227164038184,0,TRUE,FALSE,2,5,205
IMmotion150,AC021749.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021752.1,0.040530055423321,0.18905012296328,1.10710072716315,0,TRUE,FALSE,3,5,305
IMmotion150,AC021753.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021755.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021755.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021755.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021766.1,0.242696182484598,0.466837055950548,1.60051743494534,0,TRUE,FALSE,4,8,408
IMmotion150,AC021785.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021818.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021820.1,0.0154135439190181,0.118723474245083,1.07492905426775,0,TRUE,FALSE,2,4,204
