dataset,random_set_id,genes,HR_int,beta_int,p_value,direction_supportive,notes
IMmotion150,44,CRIP1;SPEG;LZTS1;RNU1-4;ANKRD23,0.879706343926829,,0.489661201546034,TRUE,""
IMmotion150,45,EMCN;CX3CR1;SNCA;CPSF1P1;SCD5,1.0975882777241,,0.608359593337267,FALSE,""
IMmotion150,46,RETREG1;COL22A1;WASF3;IGHV3OR16-9;DEPP1,1.02714135477818,,0.891382169728715,FALSE,""
IMmotion150,47,PPFIA4;PMS2P7;PCDHB18P;KISS1;MROH7,0.951570719568907,,0.796862918713888,TRUE,""
IMmotion150,48,LDHAP4;NPHP3-ACAD11;RPPH1;LINC01622;MARCKSL1,1.53330309425548,,0.0349223883410543,FALSE,""
IMmotion150,49,ZFHX4;PTN;PIGAP1;ATP13A5;PDCD1LG2,0.882969171848533,,0.505334434773638,TRUE,""
IMmotion150,50,REPS2;ADGRD1;AC093752.2;ANKRD30B;LY86,1.15086372043214,,0.421249514743736,FALSE,""
IMmotion150,51,TPX2;HUNK;TMEM156;IGSF9;FZD8,0.684132718993406,,0.0586012376573474,TRUE,""
IMmotion150,52,OLFML3;PCDHGA2;UBE2Q2L;GRM7;KCNK1,1.38851973819206,,0.0925643665067201,FALSE,""
IMmotion150,53,PPFIA4;FTH1P5;FEZ1;DMRTC1B;RANBP17,1.12297661232432,,0.564342225042259,FALSE,""
IMmotion150,54,ANKS1B;UGT8;BMP4;ATP12A;SNORA26,0.915413199983913,,0.668942507787035,TRUE,""
IMmotion150,55,ALDH1L2;GDF15;LY86;FAM43B;RAMP2,1.01311765680997,,0.947338276515916,FALSE,""
IMmotion150,56,ZNF395;GJA5;SSPN;TPSD1;SNORD67,1.059523699912,,0.735172736145999,FALSE,""
IMmotion150,57,ALDH1A3;CDCA7;TIAM2;NELL1;SLC39A4,0.849180671678608,,0.443548821563912,TRUE,""
IMmotion150,58,MT-CO3;PPT2-EGFL8;FMOD;MYBPC1;C1orf21,0.764434315945526,,0.175334394371059,TRUE,""
IMmotion150,59,SNORD116-23;NRG3;AC004832.3;PRSS2;GPX7,0.945502910369714,,0.797000652442403,TRUE,""
IMmotion150,60,SLC11A1;SNORD104;TTC25;LINC01139;NEFH,0.706615078290012,,0.0718118172792192,TRUE,""
IMmotion150,61,THSD4;MAP1LC3B2;ATF5;RSPO4;DUSP5,0.978927828958109,,0.915561764363116,TRUE,""
IMmotion150,62,TBX3;ISCA1P1;MTHFS;AC239801.1;AC092068.3,0.688353525289135,,0.128079085583908,TRUE,""
IMmotion150,63,LRP4;AC093668.1;RNLS;PLA2G12B;PDXDC2P,0.814786769712192,,0.246547436626413,TRUE,""
IMmotion150,64,SEZ6L2;CNTN4;SCARNA8;MIR9-1HG;LRRC37A6P,1.0489178921275,,0.806045838976628,FALSE,""
IMmotion150,65,FLG-AS1;DCDC1;RALGPS1;VIT;P2RY13,0.616466967886168,,0.0100632082124275,TRUE,""
IMmotion150,66,HOXA10;SYBU;TBX2;FABP1;SOD3,1.16109674379527,,0.488134024084901,FALSE,""
IMmotion150,67,MAP2;CEP55;Telomerase-vert;IL2;RBP1,1.05381534858117,,0.787416271770612,FALSE,""
IMmotion150,68,PCOLCE;ANKRD33B;NPIPA2;CPN2;PGM5,1.03149380411557,,0.874868562696989,FALSE,""
IMmotion150,69,SRPX2;GREB1;C17orf97;AC099811.2;TTK,0.774748422053156,,0.247748796624898,TRUE,""
IMmotion150,70,IMPA2;ANKRD33B;PTGDR;FGF9;RASIP1,0.995306084632808,,0.978443729582071,TRUE,""
IMmotion150,71,CDCA2;AL591806.2;DRC3;AL162411.1;MLF1,0.855616808255667,,0.429427233849349,TRUE,""
IMmotion150,72,SLC11A1;HTRA3;TLR8;TAT-AS1;CD28,0.749098087867308,,0.128005528079173,TRUE,""
IMmotion150,73,ALDOC;CDHR3;ADAM8;FOXA3;PCDHGA5,0.909799105852268,,0.633609053559261,TRUE,""
IMmotion150,74,NOSTRIN;TRAT1;RGS16;AC079360.1;SNORA59B,0.729851830962279,,0.0912075963966358,TRUE,""
